total_bill,tip,sex,day,time,size,DayCategory,tip_ratio,total_bill_normalized
10.63,2.0,0,Sat,Dinner,2.0,Weekend,0.18814675446848542,0.20269455057309477
40.36749999999999,5.9375,1,Sat,Dinner,3.0,Weekend,0.1470861460333189,1.0
15.81,3.16,1,Sat,Dinner,2.0,Weekend,0.19987349778621127,0.3415778537435486
7.25,5.15,1,Sun,Dinner,2.0,Weekend,0.710344827586207,0.1120718546819492
31.85,3.18,1,Sun,Dinner,2.0,Weekend,0.09984301412872841,0.7716334874991624
16.82,4.0,1,Sun,Dinner,2.0,Weekend,0.23781212841854935,0.3686574167169382
32.9,3.11,1,Sun,Dinner,2.0,Weekend,0.0945288753799392,0.7997855084120921
17.89,2.0,1,Sun,Dinner,2.0,Weekend,0.11179429849077696,0.39734566659963816
14.48,2.0,1,Sun,Dinner,2.0,Weekend,0.13812154696132597,0.30591862725383745
9.6,4.0,0,Sun,Dinner,2.0,Weekend,0.4166666666666667,0.175078758629935
34.63,3.55,1,Sun,Dinner,2.0,Weekend,0.102512272596015,0.8461693142972051
34.65,3.68,1,Sun,Dinner,4.0,Weekend,0.10620490620490622,0.8467055432669751
23.33,5.65,1,Sun,Dinner,2.0,Weekend,0.2421774539219889,0.5431999463771031
40.36749999999999,3.5,1,Sun,Dinner,3.0,Weekend,0.08670341239858799,1.0
23.17,5.9375,1,Sun,Dinner,4.0,Weekend,0.2562580923608114,0.5389101146189424
40.36749999999999,3.0,1,Sun,Dinner,2.0,Weekend,0.07431721062736113,1.0
20.69,5.0,1,Sun,Dinner,4.5,Weekend,0.2416626389560174,0.472417722367451
20.9,3.5,0,Sun,Dinner,3.0,Weekend,0.1674641148325359,0.4780481265500369
30.46,2.0,1,Sun,Dinner,4.5,Weekend,0.06565988181221273,0.7343655741001409
18.15,3.5,0,Sun,Dinner,3.0,Weekend,0.1928374655647383,0.4043166432066493
23.1,4.0,1,Sun,Dinner,3.0,Weekend,0.17316017316017315,0.5370333132247471
15.69,1.5,1,Sun,Dinner,2.0,Weekend,0.09560229445506692,0.338360479924928
19.81,4.19,0,Thur,Lunch,2.0,Weekday,0.21150933871781932,0.4488236476975669
28.44,2.56,1,Thur,Lunch,2.0,Weekday,0.090014064697609,0.6802064481533616
15.48,2.02,1,Thur,Lunch,2.0,Weekday,0.13049095607235142,0.33273007574234204
16.58,4.0,1,Thur,Lunch,2.0,Weekday,0.24125452352231608,0.3622226690796971
7.56,1.44,1,Thur,Lunch,2.0,Weekday,0.19047619047619047,0.12038340371338564
10.34,2.0,1,Thur,Lunch,2.0,Weekday,0.19342359767891684,0.1949192305114284
40.36749999999999,5.0,0,Thur,Lunch,4.0,Weekday,0.12386201771226855,1.0
13.0,2.0,0,Thur,Lunch,2.0,Weekday,0.15384615384615385,0.26623768349085064
13.51,2.0,1,Thur,Lunch,2.0,Weekday,0.14803849000740193,0.279911522219988
18.71,4.0,1,Thur,Lunch,3.0,Weekday,0.2137894174238375,0.4193310543602119
12.74,2.01,0,Thur,Lunch,2.0,Weekday,0.15777080062794346,0.25926670688383946
16.4,2.5,0,Thur,Lunch,2.0,Weekday,0.15243902439024393,0.35739660835176623
20.53,4.0,1,Thur,Lunch,4.0,Weekday,0.1948368241597662,0.4681278906092903
16.47,3.23,0,Thur,Lunch,3.0,Weekday,0.19611414693381907,0.35927340974596156
26.59,3.41,1,Sat,Dinner,3.0,Weekend,0.1282437006393381,0.6306052684496282
38.73,3.0,1,Sat,Dinner,4.0,Weekend,0.0774593338497289,0.9560962531000738
24.27,2.03,1,Sat,Dinner,2.0,Weekend,0.08364235681911825,0.5684027079562974
12.76,2.23,0,Sat,Dinner,2.0,Weekend,0.17476489028213166,0.25980293585360953
30.06,2.0,1,Sat,Dinner,3.0,Weekend,0.06653359946773121,0.7236409947047391
25.89,5.16,1,Sat,Dinner,4.0,Weekend,0.1993047508690614,0.6118372545076749
40.36749999999999,5.9375,1,Sat,Dinner,4.0,Weekend,0.1470861460333189,1.0
13.27,2.5,0,Sat,Dinner,2.0,Weekend,0.18839487565938207,0.2734767745827469
28.17,5.9375,0,Sat,Dinner,3.0,Weekend,0.210773872914448,0.6729673570614654
12.9,1.1,0,Sat,Dinner,2.0,Weekend,0.08527131782945736,0.2635565386420002
28.15,3.0,1,Sat,Dinner,4.5,Weekend,0.10657193605683837,0.6724311280916953
11.59,1.5,1,Sat,Dinner,2.0,Weekend,0.12942191544434858,0.22843354112205916
7.74,1.44,1,Sat,Dinner,2.0,Weekend,0.18604651162790697,0.12520946444131648
30.14,3.09,0,Sat,Dinner,4.0,Weekend,0.10252156602521566,0.7257859105838195
12.16,2.2,1,Fri,Lunch,2.0,Weekday,0.18092105263157895,0.24371606676050678
13.42,3.48,0,Fri,Lunch,2.0,Weekday,0.2593144560357675,0.27749849185602254
8.58,1.92,1,Fri,Lunch,1.0,Weekday,0.22377622377622378,0.1477310811716603
15.98,3.0,0,Fri,Lunch,3.0,Weekday,0.18773466833541927,0.34613579998659433
13.42,1.58,1,Fri,Lunch,2.0,Weekday,0.11773472429210134,0.27749849185602254
16.27,2.5,0,Fri,Lunch,2.0,Weekday,0.15365703749231716,0.35391112004826064
10.09,2.0,0,Fri,Lunch,2.0,Weekday,0.19821605550049554,0.18821636838930225
20.45,3.0,1,Sat,Dinner,4.0,Weekend,0.1466992665036675,0.4659829747302099
13.28,2.72,1,Sat,Dinner,2.0,Weekend,0.20481927710843376,0.2737448890676319
22.12,2.88,0,Sat,Dinner,2.0,Weekend,0.13019891500904157,0.5107580937060126
24.01,2.0,1,Sat,Dinner,4.0,Weekend,0.08329862557267805,0.5614317313492863
15.69,3.0,1,Sat,Dinner,3.0,Weekend,0.19120458891013384,0.338360479924928
11.61,3.39,1,Sat,Dinner,2.0,Weekend,0.29198966408268734,0.22896977009182923
10.77,1.47,1,Sat,Dinner,2.0,Weekend,0.13649025069637882,0.20644815336148536
15.53,3.0,1,Sat,Dinner,2.0,Weekend,0.19317450096587252,0.33407064816676724
10.07,1.25,1,Sat,Dinner,2.0,Weekend,0.12413108242303872,0.18768013941953218
12.6,1.0,1,Sat,Dinner,2.0,Weekend,0.07936507936507936,0.2555131040954488
32.83,1.17,1,Sat,Dinner,2.0,Weekend,0.03563813585135547,0.7979087070178967
35.83,4.67,0,Sat,Dinner,3.0,Weekend,0.13033770583310075,0.8783430524834105
29.03,5.92,1,Sat,Dinner,3.0,Weekend,0.2039269720978298,0.6960252027615793
27.18,2.0,0,Sat,Dinner,2.0,Weekend,0.07358351729212656,0.6464240230578459
22.67,2.0,1,Sat,Dinner,2.0,Weekend,0.08822232024702249,0.5255043903746901
17.82,1.75,1,Sat,Dinner,2.0,Weekend,0.09820426487093153,0.39546886520544283
18.78,3.0,0,Thur,Dinner,2.0,Weekday,0.1597444089456869,0.4212078557544072
